timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614791960157,800,Create Item HTTP Request,201,,Spike Test 1-378,text,true,,306,249,305,405,http://localhost:9090/item/create,800,0,0
1614791960037,919,Spike Test Transaction Controller,201,,Spike Test 1-393,,true,,321,226,385,485,null,0,0,0
1614791960037,919,Create Bag HTTP Request,201,,Spike Test 1-393,text,true,,321,226,305,405,http://localhost:9090/bag/create,919,0,82
1614791960031,922,Spike Test Transaction Controller,201,,Spike Test 1-391,,true,,321,226,384,484,null,0,0,0
1614791960035,918,Create Bag HTTP Request,201,,Spike Test 1-391,text,true,,321,226,304,404,http://localhost:9090/bag/create,918,0,61
1614791959623,1326,Spike Test Transaction Controller,201,,Spike Test 1-376,,true,,627,475,383,483,null,0,0,0
1614791959623,452,Create Bag HTTP Request,201,,Spike Test 1-376,text,true,,321,226,203,303,http://localhost:9090/bag/create,452,0,15
1614791960075,874,Create Item HTTP Request,201,,Spike Test 1-376,text,true,,306,249,302,402,http://localhost:9090/item/create,874,0,0
1614791959563,1384,Spike Test Transaction Controller,201,,Spike Test 1-374,,true,,627,475,383,483,null,0,0,0
1614791959564,510,Create Bag HTTP Request,201,,Spike Test 1-374,text,true,,321,226,203,303,http://localhost:9090/bag/create,510,0,43
1614791960074,873,Create Item HTTP Request,201,,Spike Test 1-374,text,true,,306,249,301,401,http://localhost:9090/item/create,873,0,0
1614791958070,2876,Spike Test Transaction Controller,200,,Spike Test 1-705,,true,,398839,635,382,482,null,0,0,0
1614791958071,1028,Create Bag HTTP Request,201,,Spike Test 1-705,text,true,,321,226,96,196,http://localhost:9090/bag/create,1028,0,100
1614791959099,1,Create Item HTTP Request,201,,Spike Test 1-705,text,true,,306,249,96,196,http://localhost:9090/item/create,1,0,0
1614791959100,1846,Read Bag HTTP Request,200,,Spike Test 1-705,text,true,,398212,160,301,401,http://localhost:9090/bag/read/1,1832,0,0
1614791958016,2799,Spike Test Transaction Controller,200,,Spike Test 1-700,,true,,398839,635,382,482,null,0,0,0
1614791958016,1081,Create Bag HTTP Request,201,,Spike Test 1-700,text,true,,321,226,96,196,http://localhost:9090/bag/create,1081,0,126
1614791959097,1,Create Item HTTP Request,201,,Spike Test 1-700,text,true,,306,249,96,196,http://localhost:9090/item/create,1,0,0
1614791959098,1717,Read Bag HTTP Request,200,,Spike Test 1-700,text,true,,398212,160,262,362,http://localhost:9090/bag/read/1,1708,0,0
1614791959018,1661,Spike Test Transaction Controller,201,,Spike Test 1-698,,true,,627,475,382,482,null,0,0,0
1614791959018,963,Create Bag HTTP Request,201,,Spike Test 1-698,text,true,,321,226,200,300,http://localhost:9090/bag/create,963,0,8
1614791959981,698,Create Item HTTP Request,201,,Spike Test 1-698,text,true,,306,249,237,337,http://localhost:9090/item/create,698,0,0
1614791959009,1670,Spike Test Transaction Controller,201,,Spike Test 1-691,,true,,627,475,381,481,null,0,0,0
1614791959009,966,Create Bag HTTP Request,201,,Spike Test 1-691,text,true,,321,226,200,300,http://localhost:9090/bag/create,966,0,9
1614791959975,704,Create Item HTTP Request,201,,Spike Test 1-691,text,true,,306,249,237,337,http://localhost:9090/item/create,704,0,0
1614791957943,2699,Spike Test Transaction Controller,200,,Spike Test 1-729,,true,,397071,796,381,481,null,0,0,0
1614791957944,1131,Create Bag HTTP Request,201,,Spike Test 1-729,text,true,,321,226,96,196,http://localhost:9090/bag/create,1131,0,113
1614791959075,1,Create Item HTTP Request,201,,Spike Test 1-729,text,true,,306,249,96,196,http://localhost:9090/item/create,1,0,0
1614791959076,440,Read Bag HTTP Request,200,,Spike Test 1-729,text,true,,396141,160,181,281,http://localhost:9090/bag/read/1,430,0,0
1614791959516,1126,Read Item HTTP Request,200,,Spike Test 1-729,text,true,,303,161,237,337,http://localhost:9090/item/read/1,1124,0,0
1614791959279,1354,Spike Test Transaction Controller,201,,Spike Test 1-688,,true,,321,226,380,480,null,0,0,0
1614791959279,1354,Create Bag HTTP Request,201,,Spike Test 1-688,text,true,,321,226,237,337,http://localhost:9090/bag/create,1354,0,3
1614791958057,2580,Spike Test Transaction Controller,202,,Spike Test 1-728,,true,,397657,1023,380,480,null,0,0,0
1614791958057,1042,Create Bag HTTP Request,201,,Spike Test 1-728,text,true,,321,226,96,196,http://localhost:9090/bag/create,1042,0,102
1614791959099,1,Create Item HTTP Request,201,,Spike Test 1-728,text,true,,306,249,96,196,http://localhost:9090/item/create,1,0,0
1614791959100,426,Read Bag HTTP Request,200,,Spike Test 1-728,text,true,,396411,160,182,282,http://localhost:9090/bag/read/1,420,0,0
1614791959526,376,Read Item HTTP Request,200,,Spike Test 1-728,text,true,,303,161,199,299,http://localhost:9090/item/read/1,375,0,0
1614791959902,735,Update Bag HTTP Request,202,,Spike Test 1-728,text,true,,316,227,237,337,http://localhost:9090/bag/update/2,735,0,0
1614791957974,2627,Spike Test Transaction Controller,200,,Spike Test 1-740,,true,,398388,635,380,480,null,0,0,0
1614791957974,1117,Create Bag HTTP Request,201,,Spike Test 1-740,text,true,,321,226,96,196,http://localhost:9090/bag/create,1117,0,116
1614791959091,1,Create Item HTTP Request,201,,Spike Test 1-740,text,true,,306,249,96,196,http://localhost:9090/item/create,1,0,0
1614791959092,1509,Read Bag HTTP Request,200,,Spike Test 1-740,text,true,,397761,160,236,336,http://localhost:9090/bag/read/1,1502,0,0
1614791958131,2415,Spike Test Transaction Controller,201,,Spike Test 1-653,,true,,627,475,380,480,null,0,0,0
1614791958131,1106,Create Bag HTTP Request,201,,Spike Test 1-653,text,true,,321,226,110,210,http://localhost:9090/bag/create,1106,0,91
1614791959237,1309,Create Item HTTP Request,201,,Spike Test 1-653,text,true,,306,249,235,335,http://localhost:9090/item/create,1309,0,0
1614791957929,2606,Spike Test Transaction Controller,200,,Spike Test 1-747,,true,,398163,635,379,479,null,0,0,0
1614791957929,122,Create Bag HTTP Request,201,,Spike Test 1-747,text,true,,321,226,32,132,http://localhost:9090/bag/create,122,0,114
1614791958051,1020,Create Item HTTP Request,201,,Spike Test 1-747,text,true,,306,249,96,196,http://localhost:9090/item/create,1020,0,0
1614791959071,1464,Read Bag HTTP Request,200,,Spike Test 1-747,text,true,,397536,160,235,335,http://localhost:9090/bag/read/1,1419,0,0
1614791958131,2399,Spike Test Transaction Controller,201,,Spike Test 1-656,,true,,627,475,379,479,null,0,0,0
1614791958132,1105,Create Bag HTTP Request,201,,Spike Test 1-656,text,true,,321,226,110,210,http://localhost:9090/bag/create,1105,0,90
1614791959237,1293,Create Item HTTP Request,201,,Spike Test 1-656,text,true,,306,249,235,335,http://localhost:9090/item/create,1293,0,0
1614791958192,2322,Spike Test Transaction Controller,201,,Spike Test 1-665,,true,,321,226,379,479,null,0,0,0
1614791958193,2321,Create Bag HTTP Request,201,,Spike Test 1-665,text,true,,321,226,235,335,http://localhost:9090/bag/create,2321,0,33
1614791958177,2304,Spike Test Transaction Controller,201,,Spike Test 1-663,,true,,321,226,378,478,null,0,0,0
1614791958178,2303,Create Bag HTTP Request,201,,Spike Test 1-663,text,true,,321,226,234,334,http://localhost:9090/bag/create,2303,0,46
1614791957935,2545,Spike Test Transaction Controller,200,,Spike Test 1-748,,true,,398163,635,377,477,null,0,0,0
1614791957935,117,Create Bag HTTP Request,201,,Spike Test 1-748,text,true,,321,226,32,132,http://localhost:9090/bag/create,117,0,108
1614791958052,1020,Create Item HTTP Request,201,,Spike Test 1-748,text,true,,306,249,96,196,http://localhost:9090/item/create,1020,0,0
1614791959072,1408,Read Bag HTTP Request,200,,Spike Test 1-748,text,true,,397536,160,234,334,http://localhost:9090/bag/read/1,1382,0,0
1614791958185,2295,Spike Test Transaction Controller,201,,Spike Test 1-664,,true,,321,226,377,477,null,0,0,0
1614791958185,2295,Create Bag HTTP Request,201,,Spike Test 1-664,text,true,,321,226,234,334,http://localhost:9090/bag/create,2295,0,40
1614791958149,2331,Spike Test Transaction Controller,201,,Spike Test 1-658,,true,,321,226,377,477,null,0,0,0
1614791958149,2331,Create Bag HTTP Request,201,,Spike Test 1-658,text,true,,321,226,234,334,http://localhost:9090/bag/create,2331,0,74
